x1,x2,u
-0.760000,0.440000,0.335897
0.860000,0.620000,-0.320057
0.940000,0.700000,-0.354882
-0.080000,-0.660000,-0.853576
0.700000,0.220000,0.010810
-0.720000,0.920000,0.626854
-0.740000,-1.000000,-1.189169
1.000000,-0.340000,-0.493289
-0.020000,0.940000,1.018740
-0.040000,-0.840000,-1.081572
0.700000,0.840000,0.650402
-0.080000,0.700000,0.615466
0.720000,-0.160000,-0.144899
0.620000,-0.040000,0.301869
-0.780000,-0.480000,0.024609
-0.720000,0.480000,-0.019292
0.400000,0.980000,1.291907
-0.960000,-0.320000,-0.731753
-0.760000,-0.240000,-0.173110
-0.620000,-0.460000,-0.349170
-0.260000,0.620000,0.439325
0.300000,-0.620000,-0.700838
-0.240000,-0.700000,-0.467959
-0.700000,0.840000,0.965155
-0.980000,0.080000,0.424570
-0.660000,0.060000,-0.180176
-0.660000,-0.820000,-0.579348
-0.420000,-0.660000,-0.662944
-0.120000,0.760000,0.986094
0.300000,0.740000,0.573755
-0.640000,0.740000,0.812788
0.120000,0.720000,0.815041
1.000000,0.020000,0.001781
0.240000,0.640000,0.400643
-0.420000,0.880000,0.626981
-0.720000,0.120000,-0.197103
0.560000,-0.720000,-0.608757
0.960000,-0.580000,0.649172
-0.680000,0.160000,-0.076788
-0.720000,-0.260000,0.154090
0.560000,1.000000,0.936300
-0.480000,-0.740000,-0.463924
0.620000,-0.800000,-0.928133
-0.920000,-0.980000,-0.803788
-0.720000,-0.360000,-0.042378
-0.980000,0.660000,-0.502601
-0.500000,-1.000000,-0.642581
-0.880000,0.220000,0.521607
-0.780000,-0.940000,-1.123508
0.000000,0.000000,2.231719
